address,date_added,description,phone,price,seller,title
"Cliff Hill, Maltby, Rotherham",Reduced on 24/05/2021,"***GUIDE PRICE £275,000 - £285,000*** Offered to the market with NO CHAIN!! William H Brown Maltby are proud to present to the market this extremely desirable three bedroom detached bungalow on a CORNER PLOT!! Viewings are advised to appreciate what this property has to offer!!",01709 230035,"£275,000","William H. Brown, Maltby",3 bedroom detached bungalow for sale
"Burringham Road, Scunthorpe",,"** LINCOLNSHIRE LAKES, SCUNTHORPE, NORTH LINCOLNSHIRE - PHASE 1 - EAST VILLAGE ** SUPERB DEVELOPMENT OPPORTUNITY ** FIRST RELEASE OF EXCITING AND PRESTIGE LAKESIDE PROJECT ** IDEAL FOR NATIONAL/LOCAL BUILDERS ** Without a doubt a truly outstanding and unique opportunity to be part of two very des...",01724 646101,POA,"Paul Fox, Scunthorpe",Land for sale
The Palace Studios,Added on 12/09/2020," Palace Studios represents one of the most exciting investment opportunities in the north of England to date. With its prime location situated in the heart one of the country’s largest towns, this development is guaranteed to attract huge interest. Huddersfield University currently ha...",03301 332472,"£12,583,000","Fleming & Co (Estates) Ltd, Huddersfield",127 bedroom apartment for sale
"Sheriff Hutton Park Estate, Sheriff Hutton, York, YO60",Added on 04/12/2020,Important Grade I Listed Country House in Historic Parkland Setting.,01904 200057,"£10,000,000","Savills, York",Detached house for sale
"Cuthbert Road, Sheffield",Added on 11/01/2021,"Tyron Ash Real Estate present this incredible apartment complex for sale as a full purchase, including the freehold. This is one of the fastest developing areas in Sheffield and represents a great opportunity to buy before its too late! The development, named Bamford Point is an exclusive develop...",03333 050656,POA,"Tyron Ash Real Estate, Mayfair",45 bedroom block of apartments for sale
"Raisdale Estate, Chop Gate, North Yorkshire, TS9",Added on 22/04/2021,"A beautifully situated mixed residential, sporting, forestry and farming estate within an accessible yet unspoilt position within the North York Moors National Park",01904 200057,"£5,000,000","Savills, York",Detached house for sale
"Crosby, Northallerton, North Yorkshire, DL6",Added on 17/05/2021,"An impressive estate with a fine Grade II listed country house at its heart and far-reaching views, close to excellent communications. Crosby Court is an impressive period Grade II listed house dating from the mid to late 18th century and 19th century. It is set in an elevated position with far-...",01423 429050,"£4,950,000","Knight Frank, Harrogate",8 bedroom detached house for sale
"Hill Top Lane, Pannal, Harrogate, HG3",Added on 24/05/2021,"Monks Folly Ground Floor Entrance Hall, Study, Open plan living / dining kitchen , dining room, sitting room, snug, ensuite bedroom, utility room, wine store, downstairs w.c. and cloakroom. First Floor: Master suite with dressing room and ensuite bathroom,...",020 8012 2565,"£4,750,000","Sotheby's International Realty, London",6 bedroom detached house for sale
"Monks Folly, Hill Top Lane, Pannal, Harrogate. North Yorkshire. HG3 1PA",Added on 07/05/2021,"AN EXCEPTIONAL AND UNIQUE COUNTRY HOUSE WITH INCREDIBLE VIEWS, 50 ACRES OF PASTURE LAND, TWO ADDITIONAL PROPERTIES, A BEAUTIFUL BARN PRIME FOR CONVERSION AND LOCATED ON POPULAR SOUTH SIDE OF HARROGATE.",01904 200080,"£4,750,000","Croft, York",6 bedroom detached house for sale
"Hill Top Lane, Pannal, North Yorkshire",Added on 25/11/2020,"An exceptional and unique country house with incredible views 50 acres of pasture land, two additional properties a beautiful barn prime for conversion and located on popular south side of Harrogate . Monks Folly is the principal house and filled with an abundance of character and charm which i...",01423 429025,"£4,750,000","Hopkinsons, Harrogate",6 bedroom detached house for sale
"Octavia House, Beech Grove, Harrogate, HG2 0EX",Added on 27/04/2021,A SUPERB HOME IN AN UNBEATABLE LOCATION PROVIDING EXCELLENT ACCOMMODATION AND WITH PLANNING PERMISSION TO CONVERT INTO APARTMENTS IF DESIRED,01904 200080,POA,"Croft, York",7 bedroom detached house for sale
"Land, Manchester Road, Marsden, Huddersfield, Yorkshire, HD7 6LY",,"Guide Price £4,000,000 For sale by public auction on 15/06/2021 . Circa 25 Acres of freehold land. Planning permission has been granted for significant residential development. Cellars Clough, Marsden HD7 6LY Planning Ref 2016/62/91573/W (Kirklees Council) There is future scope for furth...",01202 066461,"£4,000,000","Connect-UK, Auctions - Crawley",Land for sale
"Bronte Business Park, Thornton Road, Bradford, West Yorkshire, BD13 3NW",,"Planning permission for development of up to 250 dwellings.
Semi rural setting.
Close to Thornton centre and all amenities.",01274 399035,POA,,Land for sale
"The Manor, Manor House Lane, Alwoodley, Leeds, West Yorkshire",Added on 02/09/2019,"The Manor is 'One of Leeds Finest' homes standing in private landscaped gardens adjoining Alwoodley Golf Course in this exclusive North Leeds residential area. This outstanding family home provides over 10,200 sq ft of accommodation and has exquisitely fitted bespoke interiors. ",0113 451 3240,"£3,950,000","Fine & Country Manning Stainton, Leeds",7 bedroom detached house for sale
"Northgate Mount, Honley, Holmfirth",Added on 08/10/2020,A TRULY MAJESTIC SUBSTANTIAL PERIOD HOME SET IN APPROXIMATELY 6 ACRES APPROACHED OVER A LONG DRIVEWAY WITH GATEHOUSE LODGE AND HAVING AN INTERESTING HISTORY WITH ROYAL CONNECTIONS. THERE ARE NOT MANY HOMES WHERE THE KING AND QUEEN COME FOR TEA. IN 1912 WILLIAM AND GERTRUDE BROOKE WERE GRACED WITH...,01484 977034,"£3,750,000","Simon Blyth, Holmfirth",8 bedroom detached house for sale
"Beech House, Scotland Lane, Horsforth, Leeds, LS18 5HH",Added on 28/05/2021,"An exquisite Grade II listed country house, beautifully presented and interior designed providing superb accommodation and set in 7 acres of glorious gardens and grounds.",01904 200080,"£3,500,000","Croft, York",8 bedroom detached house for sale
"Hurst Lane, Auckley, Doncaster, South Yorkshire, DN9",,"A substantial residential development opportunity subject to planning, comprising a designated brownfield site extending to approximately 34 acres and in an extremely sustainable location. The site extends to approximately 34.24 acres and offers an excellent opportunity to create a phasable hous...",0113 451 0398,POA,"Knight Frank, Leeds - Commercial",Land for sale
"Martin Grange Farm, Martin Grange Lane, Bawtry, Doncaster, South Yorkshire, DN10 6DD",Added on 17/03/2020,"A rare opportunity to acquire a unique property standing in open countryside, complete with superbly restored 6 bedroom house, a detached staff cottage and excellent equestrian facilities including extensive stabling standing in excess of 35 acres in all. Planning permission has been granted f...",01302 960055,POA,"Fine & Country, Bawtry",6 bedroom country house for sale
